,machine,reward,num_actions,max_RUL,slack,reward_estimate
0,1,9,9,30,21,0.3
1,2,5,5,48,43,0.1
2,3,4,4,125,121,0.03
3,4,31,31,105,74,0.3
4,5,69,69,97,28,0.71
5,6,20,20,104,84,0.19
6,7,10,10,159,149,0.06
7,8,58,58,165,107,0.35
8,9,-675,54,54,0,-12.5
9,10,11,11,191,180,0.06
10,11,9,9,82,73,0.11
11,12,24,24,216,192,0.11
12,13,8,8,194,186,0.04
13,14,17,17,45,28,0.38
14,15,-654,75,75,0,-8.72
15,16,1,1,112,111,0.01
16,17,3,3,164,161,0.02
17,18,44,44,132,88,0.33
18,19,7,7,134,127,0.05
19,20,5,5,183,178,0.03
20,21,10,10,147,137,0.07
21,22,8,8,38,30,0.21
22,23,24,24,129,105,0.19
23,24,46,46,185,139,0.25
24,25,18,18,47,29,0.38
25,26,31,31,75,44,0.41
26,27,9,9,139,130,0.06
27,28,56,56,157,101,0.36
28,29,141,141,170,29,0.83
29,30,83,83,142,59,0.58
30,31,10,10,195,185,0.05
31,32,36,36,144,108,0.25
32,33,-680,49,49,0,-13.88
33,34,26,26,202,176,0.13
34,35,6,6,197,191,0.03
35,36,17,17,125,108,0.14
36,37,5,5,120,115,0.04
37,38,40,40,124,84,0.32
38,39,15,15,36,21,0.42
39,40,35,35,132,97,0.27
40,41,71,71,122,51,0.58
41,42,12,12,155,143,0.08
42,43,20,20,171,151,0.12
43,44,-676,53,53,0,-12.75
44,45,12,12,151,139,0.08
45,46,20,20,145,125,0.14
46,47,5,5,72,67,0.07
47,48,7,7,77,70,0.09
48,49,24,24,302,278,0.08
49,50,33,33,73,40,0.45
50,51,30,30,143,113,0.21
51,52,2,2,188,186,0.01
52,53,43,43,163,120,0.26
53,54,35,35,120,85,0.29
54,55,-617,112,112,0,-5.51
55,56,19,19,135,116,0.14
56,57,24,24,159,135,0.15
57,58,57,57,175,118,0.33
58,59,11,11,93,82,0.12
59,60,7,7,146,139,0.05
60,61,6,6,158,152,0.04
61,62,55,55,231,176,0.24
62,63,13,13,154,141,0.08
63,64,84,84,167,83,0.5
64,65,-659,70,70,0,-9.41
65,66,14,14,146,132,0.1
66,67,11,11,70,59,0.16
67,68,18,18,186,168,0.1
68,69,144,45,53,8,2.72
69,70,2,2,151,149,0.01
70,71,4,4,67,63,0.06
71,72,23,23,130,107,0.18
72,73,92,92,111,19,0.83
73,74,18,18,136,118,0.13
74,75,9,9,87,78,0.1
75,76,53,53,204,151,0.26
76,77,37,37,161,124,0.23
77,78,15,15,71,56,0.21
78,79,48,48,100,52,0.48
79,80,5,5,132,127,0.04
80,81,58,58,212,154,0.27
81,82,11,11,161,150,0.07
82,83,1,1,72,71,0.01
83,84,55,55,171,116,0.32
84,85,-696,33,33,0,-21.09
85,86,26,26,109,83,0.24
86,87,1,1,55,54,0.02
87,88,34,34,67,33,0.51
88,89,110,110,176,66,0.62
89,90,54,54,145,91,0.37
90,91,38,38,233,195,0.16
91,92,22,22,149,127,0.15
92,93,15,15,243,228,0.06
93,94,45,45,132,87,0.34
94,95,23,23,88,65,0.26
95,96,17,17,96,79,0.18
96,97,29,29,133,104,0.22
97,98,50,50,120,70,0.42
98,99,6,6,96,90,0.06
99,100,49,49,197,148,0.25
100,101,215,215,257,42,0.84
101,102,22,22,54,32,0.41
102,103,-565,164,164,0,-3.45
103,104,169,70,85,15,1.99
104,105,18,18,147,129,0.12
105,106,5,5,62,57,0.08
106,107,268,169,183,14,1.46
107,108,44,44,172,128,0.26
108,109,-569,160,160,0,-3.56
109,110,-646,83,83,0,-7.78
110,111,-568,161,161,0,-3.53
111,112,-656,73,73,0,-8.99
112,113,250,151,163,12,1.53
113,114,243,144,159,15,1.53
114,115,84,84,164,80,0.51
115,116,-642,87,87,0,-7.38
116,117,28,28,263,235,0.11
117,118,18,18,39,21,0.46
118,119,270,171,171,0,1.58
119,120,-629,100,100,0,-6.29
120,121,69,69,127,58,0.54
121,122,-571,158,158,0,-3.61
122,123,-681,48,48,0,-14.19
123,124,-520,209,209,0,-2.49
124,125,-583,146,146,0,-3.99
125,126,-654,75,75,0,-8.72
126,127,40,40,67,27,0.6
127,128,-707,22,22,0,-32.14
128,129,64,64,100,36,0.64
129,130,66,66,183,117,0.36
130,131,-607,122,122,0,-4.98
131,132,-560,169,169,0,-3.31
132,133,-595,134,134,0,-4.44
133,134,-678,51,51,0,-13.29
134,135,-653,76,76,0,-8.59
135,136,28,28,162,134,0.17
136,137,17,17,48,31,0.35
137,138,-603,126,126,0,-4.79
138,139,242,143,148,5,1.64
139,140,136,136,182,46,0.75
140,141,119,119,209,90,0.57
141,142,-593,136,136,0,-4.36
142,143,99,99,183,84,0.54
143,144,40,40,163,123,0.25
144,145,99,99,194,95,0.51
145,146,-598,131,131,0,-4.56
146,147,169,70,80,10,2.11
147,148,96,96,131,35,0.73
148,149,147,48,64,16,2.3
149,150,-566,163,163,0,-3.47
150,151,-693,36,36,0,-19.25
151,152,69,69,164,95,0.42
152,153,96,96,148,52,0.65
153,154,-656,73,73,0,-8.99
154,155,-607,122,122,0,-4.98
155,156,-657,72,72,0,-9.12
156,157,-654,75,75,0,-8.72
157,158,9,9,246,237,0.04
158,159,-708,21,21,0,-33.71
159,160,21,21,143,122,0.15
160,161,36,36,69,33,0.52
161,162,125,125,204,79,0.61
162,163,10,10,173,163,0.06
163,164,103,103,232,129,0.44
164,165,11,11,366,355,0.03
165,166,148,49,62,13,2.39
166,167,-584,145,145,0,-4.03
167,168,11,11,217,206,0.05
168,169,38,38,157,119,0.24
169,170,27,27,263,236,0.1
170,171,17,17,64,47,0.27
171,172,51,51,142,91,0.36
172,173,-579,150,150,0,-3.86
173,174,187,88,102,14,1.83
174,175,35,35,191,156,0.18
175,176,303,204,221,17,1.37
176,177,-663,66,66,0,-10.05
