,machine,reward,num_actions,max_RUL,slack,reward_estimate
0,1,2,2,30,28,0.07
1,2,21,21,48,27,0.44
2,3,23,23,125,102,0.18
3,4,88,88,105,17,0.84
4,5,12,12,97,85,0.12
5,6,32,32,104,72,0.31
6,7,10,10,159,149,0.06
7,8,37,37,165,128,0.22
8,9,3,3,54,51,0.06
9,10,155,155,191,36,0.81
10,11,63,63,82,19,0.77
11,12,80,80,216,136,0.37
12,13,74,74,194,120,0.38
13,14,-441,45,45,0,-9.8
14,15,1,1,75,74,0.01
15,16,45,45,112,67,0.4
16,17,18,18,164,146,0.11
17,18,34,34,132,98,0.26
18,19,93,93,134,41,0.69
19,20,29,29,183,154,0.16
20,21,1,1,147,146,0.01
21,22,20,20,38,18,0.53
22,23,2,2,129,127,0.02
23,24,24,24,185,161,0.13
24,25,-439,47,47,0,-9.34
25,26,52,52,75,23,0.69
26,27,13,13,139,126,0.09
27,28,44,44,157,113,0.28
28,29,25,25,170,145,0.15
29,30,98,98,142,44,0.69
30,31,10,10,195,185,0.05
31,32,45,45,144,99,0.31
32,33,11,11,49,38,0.22
33,34,9,9,202,193,0.04
34,35,8,8,197,189,0.04
35,36,57,57,125,68,0.46
36,37,45,45,120,75,0.38
37,38,75,75,124,49,0.6
38,39,6,6,36,30,0.17
39,40,92,92,132,40,0.7
40,41,23,23,122,99,0.19
41,42,51,51,155,104,0.33
42,43,52,52,171,119,0.3
43,44,42,42,53,11,0.79
44,45,72,72,151,79,0.48
45,46,56,56,145,89,0.39
46,47,8,8,72,64,0.11
47,48,43,43,77,34,0.56
48,49,40,40,302,262,0.13
49,50,60,60,73,13,0.82
50,51,20,20,143,123,0.14
51,52,59,59,188,129,0.31
52,53,37,37,163,126,0.23
53,54,91,91,120,29,0.76
54,55,6,6,112,106,0.05
55,56,95,95,135,40,0.7
56,57,141,141,159,18,0.89
57,58,130,130,175,45,0.74
58,59,92,92,93,1,0.99
59,60,64,64,146,82,0.44
60,61,13,13,158,145,0.08
61,62,109,109,231,122,0.47
62,63,13,13,154,141,0.08
63,64,35,35,167,132,0.21
64,65,-416,70,70,0,-5.94
65,66,35,35,146,111,0.24
66,67,4,4,70,66,0.06
67,68,66,66,186,120,0.35
68,69,36,36,53,17,0.68
69,70,-335,151,151,0,-2.22
70,71,63,63,67,4,0.94
71,72,71,71,130,59,0.55
72,73,15,15,111,96,0.14
73,74,85,85,136,51,0.62
74,75,28,28,87,59,0.32
75,76,16,16,204,188,0.08
76,77,-325,161,161,0,-2.02
77,78,-415,71,71,0,-5.85
78,79,3,3,100,97,0.03
79,80,28,28,132,104,0.21
80,81,10,10,212,202,0.05
81,82,71,71,161,90,0.44
82,83,5,5,72,67,0.07
83,84,1,1,171,170,0.01
84,85,-453,33,33,0,-13.73
85,86,93,93,109,16,0.85
86,87,14,14,55,41,0.25
87,88,27,27,67,40,0.4
88,89,12,12,176,164,0.07
89,90,-341,145,145,0,-2.35
90,91,3,3,233,230,0.01
91,92,77,77,149,72,0.52
92,93,42,42,243,201,0.17
93,94,26,26,132,106,0.2
94,95,69,69,88,19,0.78
95,96,44,44,96,52,0.46
96,97,17,17,133,116,0.13
97,98,9,9,120,111,0.08
98,99,-390,96,96,0,-4.06
99,100,156,156,197,41,0.79
100,101,244,244,257,13,0.95
101,102,-432,54,54,0,-8.0
102,103,-322,164,164,0,-1.96
103,104,-401,85,85,0,-4.72
104,105,26,26,147,121,0.18
105,106,54,54,62,8,0.87
106,107,-303,183,183,0,-1.66
107,108,140,140,172,32,0.81
108,109,-326,160,160,0,-2.04
109,110,-403,83,83,0,-4.86
110,111,-325,161,161,0,-2.02
111,112,-413,73,73,0,-5.66
112,113,57,57,163,106,0.35
113,114,59,59,159,100,0.37
114,115,49,49,164,115,0.3
115,116,-399,87,87,0,-4.59
116,117,29,29,263,234,0.11
117,118,-447,39,39,0,-11.46
118,119,-315,171,171,0,-1.84
119,120,12,12,100,88,0.12
120,121,-359,127,127,0,-2.83
