,machine,reward,num_actions,max_RUL,slack,reward_estimate
0,1,-196,5,30,25,-6.53
1,2,-188,13,48,35,-3.92
2,3,292,93,125,32,2.34
3,4,-183,18,105,87,-1.74
4,5,44,44,97,53,0.45
5,6,59,59,104,45,0.57
6,7,-186,15,159,144,-1.17
7,8,65,65,165,100,0.39
8,9,-432,54,54,0,-8.0
9,10,-164,37,191,154,-0.86
10,11,264,65,82,17,3.22
11,12,95,95,216,121,0.44
12,13,-197,4,194,190,-1.02
13,14,-441,45,45,0,-9.8
14,15,-411,75,75,0,-5.48
15,16,-374,112,112,0,-3.34
16,17,-188,13,164,151,-1.15
17,18,49,49,132,83,0.37
18,19,-161,40,134,94,-1.2
19,20,-192,9,183,174,-1.05
20,21,-197,4,147,143,-1.34
21,22,-448,38,38,0,-11.79
22,23,-179,22,129,107,-1.39
23,24,-189,12,185,173,-1.02
24,25,-439,47,47,0,-9.34
25,26,33,33,75,42,0.44
26,27,60,60,139,79,0.43
27,28,-154,47,157,110,-0.98
28,29,-195,6,170,164,-1.15
29,30,86,86,142,56,0.61
30,31,-182,19,195,176,-0.93
31,32,-191,10,144,134,-1.33
32,33,22,22,49,27,0.45
33,34,-189,12,202,190,-0.94
34,35,95,95,197,102,0.48
35,36,-186,15,125,110,-1.49
36,37,46,46,120,74,0.38
37,38,-362,124,124,0,-2.92
38,39,227,28,36,8,6.31
39,40,-189,12,132,120,-1.43
40,41,-184,17,122,105,-1.51
41,42,-183,18,155,137,-1.18
42,43,-153,48,171,123,-0.89
43,44,-189,12,53,41,-3.57
44,45,-157,44,151,107,-1.04
45,46,-193,8,145,137,-1.33
46,47,-414,72,72,0,-5.75
47,48,48,48,77,29,0.62
48,49,-197,4,302,298,-0.65
49,50,254,55,73,18,3.48
50,51,55,55,143,88,0.38
51,52,-164,37,188,151,-0.87
52,53,-170,31,163,132,-1.04
53,54,-198,3,120,117,-1.65
54,55,43,43,112,69,0.38
55,56,-198,3,135,132,-1.47
56,57,60,60,159,99,0.38
57,58,106,106,175,69,0.61
58,59,38,38,93,55,0.41
59,60,-200,1,146,145,-1.37
60,61,68,68,158,90,0.43
61,62,111,111,231,120,0.48
62,63,-188,13,154,141,-1.22
63,64,-175,26,167,141,-1.05
64,65,-184,17,70,53,-2.63
65,66,-171,30,146,116,-1.17
66,67,-186,15,70,55,-2.66
67,68,-157,44,186,142,-0.84
68,69,-433,53,53,0,-8.17
69,70,73,73,151,78,0.48
70,71,-186,15,67,52,-2.78
71,72,-178,23,130,107,-1.37
72,73,-194,7,111,104,-1.75
73,74,47,47,136,89,0.35
74,75,29,29,87,58,0.33
75,76,123,123,204,81,0.6
76,77,-180,21,161,140,-1.12
77,78,-415,71,71,0,-5.85
78,79,-199,2,100,98,-1.99
79,80,316,117,132,15,2.39
80,81,105,105,212,107,0.5
81,82,-186,15,161,146,-1.16
82,83,31,31,72,41,0.43
83,84,-194,7,171,164,-1.13
84,85,227,28,33,5,6.88
85,86,-168,33,109,76,-1.54
86,87,-195,6,55,49,-3.55
87,88,-200,1,67,66,-2.99
88,89,-178,23,176,153,-1.01
89,90,69,69,145,76,0.48
90,91,-194,7,233,226,-0.83
91,92,-186,15,149,134,-1.25
92,93,-186,15,243,228,-0.77
93,94,-168,33,132,99,-1.27
94,95,56,56,88,32,0.64
95,96,-190,11,96,85,-1.98
96,97,-200,1,133,132,-1.5
97,98,-177,24,120,96,-1.48
98,99,37,37,96,59,0.39
99,100,-174,27,197,170,-0.88
100,101,-189,12,257,245,-0.74
101,102,17,17,54,37,0.31
102,103,-188,13,164,151,-1.15
103,104,264,65,85,20,3.11
104,105,-171,30,147,117,-1.16
105,106,-194,7,62,55,-3.13
106,107,-190,11,183,172,-1.04
107,108,-198,3,172,169,-1.15
108,109,-193,8,160,152,-1.21
109,110,-190,11,83,72,-2.29
110,111,-185,16,161,145,-1.15
111,112,-413,73,73,0,-5.66
112,113,-191,10,163,153,-1.17
